Code région,Nom de la région,Code département,Code arrondissement,Code canton,Code commune,Nom de la commune,Population municipale,Population comptée à part,Population totale
82,Rhône-Alpes,01,2,19,054,Bourg-Saint-Christophe,1095,16,1111
82,Rhône-Alpes,01,4,24,056,Boyeux-Saint-Jérôme,306,12,318
82,Rhône-Alpes,01,2,26,057,Boz,485,4,489
82,Rhône-Alpes,01,1,04,058,Brégnier-Cordon,746,25,771
82,Rhône-Alpes,01,1,09,059,Brénaz,92,8,100
82,Rhône-Alpes,01,4,06,060,Brénod,531,15,546
82,Rhône-Alpes,01,1,04,061,Brens,993,29,1022
82,Rhône-Alpes,01,2,20,062,Bressolles,717,18,735
82,Rhône-Alpes,01,4,22,063,Brion,506,20,526
82,Rhône-Alpes,01,1,18,064,Briord,856,14,870
82,Rhône-Alpes,01,2,43,065,Buellas,1617,68,1685
82,Rhône-Alpes,01,1,36,066,La Burbanche,68,1,69
82,Rhône-Alpes,01,4,16,067,Ceignes,271,5,276
82,Rhône-Alpes,01,4,24,068,Cerdon,766,14,780
82,Rhône-Alpes,01,2,25,069,Certines,1450,32,1482
82,Rhône-Alpes,01,3,14,071,Cessy,3660,116,3776
82,Rhône-Alpes,01,2,07,072,Ceyzériat,2620,74,2694
82,Rhône-Alpes,01,1,36,073,Ceyzérieu,893,30,923
82,Rhône-Alpes,01,2,08,074,Chalamont,2236,27,2263
82,Rhône-Alpes,01,2,30,075,Chaleins,1183,30,1213
82,Rhône-Alpes,01,1,28,076,Chaley,120,5,125
82,Rhône-Alpes,01,4,24,077,Challes-la-Montagne,186,1,187
82,Rhône-Alpes,01,3,12,078,Challex,1124,25,1149
82,Rhône-Alpes,01,1,09,079,Champagne-en-Valromey,741,18,759
82,Rhône-Alpes,01,4,06,080,Champdor,450,12,462
82,Rhône-Alpes,01,4,03,081,Champfromier,653,25,678
82,Rhône-Alpes,01,1,31,082,Chanay,610,28,638
82,Rhône-Alpes,01,2,30,083,Chaneins,840,16,856
82,Rhône-Alpes,01,2,10,084,Chanoz-Châtenay,671,9,680
82,Rhône-Alpes,01,2,35,085,La Chapelle-du-Châtelard,309,3,312
82,Rhône-Alpes,01,4,22,087,Charix,297,17,314
82,Rhône-Alpes,01,2,19,088,Charnoz-sur-Ain,912,13,925
82,Rhône-Alpes,01,1,01,089,Château-Gaillard,1732,38,1770
82,Rhône-Alpes,01,2,08,090,Châtenay,337,3,340
82,Rhône-Alpes,01,4,03,091,Châtillon-en-Michaille,3099,95,3194
82,Rhône-Alpes,01,2,08,092,Châtillon-la-Palud,1496,63,1559
82,Rhône-Alpes,01,2,10,093,Châtillon-sur-Chalaronne,4924,209,5133
82,Rhône-Alpes,01,2,26,094,Chavannes-sur-Reyssouze,667,16,683
82,Rhône-Alpes,01,2,33,095,Chavannes-sur-Suran,655,11,666
82,Rhône-Alpes,01,2,10,096,Chaveyriat,907,23,930
82,Rhône-Alpes,01,1,09,097,Chavornay,181,7,188
82,Rhône-Alpes,01,1,04,098,Chazey-Bons,715,15,730
82,Rhône-Alpes,01,1,17,099,Chazey-sur-Ain,1385,28,1413
82,Rhône-Alpes,01,1,36,100,Cheignieu-la-Balme,150,2,152
82,Rhône-Alpes,01,4,06,101,Chevillard,174,7,181
82,Rhône-Alpes,01,2,26,102,Chevroux,871,10,881
82,Rhône-Alpes,01,3,14,103,Chevry,1184,48,1232
82,Rhône-Alpes,01,3,12,104,Chézery-Forens,403,13,416
82,Rhône-Alpes,01,2,42,105,Civrieux,1340,78,1418
82,Rhône-Alpes,01,2,07,106,Cize,158,2,160
82,Rhône-Alpes,01,1,28,107,Cleyzieu,131,1,132
82,Rhône-Alpes,01,2,11,108,Coligny,1150,30,1180
82,Rhône-Alpes,01,3,12,109,Collonges,1621,29,1650
82,Rhône-Alpes,01,1,04,110,Colomieu,116,1,117
82,Rhône-Alpes,01,1,28,111,Conand,103,6,109
82,Rhône-Alpes,01,4,06,112,Condamine,388,41,429
82,Rhône-Alpes,01,2,10,113,Condeissiat,749,17,766
82,Rhône-Alpes,01,3,12,114,Confort,513,21,534
82,Rhône-Alpes,01,2,21,115,Confrançon,1071,26,1097
82,Rhône-Alpes,01,1,36,116,Contrevoz,506,25,531
82,Rhône-Alpes,01,1,04,117,Conzieu,119,5,124
82,Rhône-Alpes,01,1,31,118,Corbonod,1152,21,1173
82,Rhône-Alpes,01,4,06,119,Corcelles,223,6,229
82,Rhône-Alpes,01,1,15,121,Corlier,119,2,121
82,Rhône-Alpes,01,1,15,122,Cormaranche-en-Bugey,857,76,933
82,Rhône-Alpes,01,2,27,123,Cormoranche-sur-Saône,1043,30,1073
82,Rhône-Alpes,01,2,29,124,Cormoz,547,8,555
82,Rhône-Alpes,01,2,33,125,Corveissiat,556,16,572
82,Rhône-Alpes,01,2,33,127,Courmangoux,490,13,503
82,Rhône-Alpes,01,2,29,128,Courtes,251,6,257
82,Rhône-Alpes,01,2,08,129,Crans,273,9,282
82,Rhône-Alpes,01,2,21,130,Cras-sur-Reyssouze,1155,35,1190
82,Rhône-Alpes,01,1,04,133,Cressin-Rochefort,361,7,368
82,Rhône-Alpes,01,2,27,134,Crottet,1723,44,1767
82,Rhône-Alpes,01,3,14,135,Crozet,1766,64,1830
82,Rhône-Alpes,01,2,27,136,Cruzilles-lès-Mépillat,793,15,808
82,Rhône-Alpes,01,1,31,138,Culoz,2931,57,2988
82,Rhône-Alpes,01,2,29,139,Curciat-Dongalon,437,6,443
82,Rhône-Alpes,01,2,21,140,Curtafond,663,13,676
82,Rhône-Alpes,01,1,36,141,Cuzieu,401,10,411
82,Rhône-Alpes,01,2,20,142,Dagneux,3930,78,4008
82,Rhône-Alpes,01,3,14,143,Divonne-les-Bains,7806,210,8016
82,Rhône-Alpes,01,2,02,144,Dommartin,813,17,830
82,Rhône-Alpes,01,2,10,146,Dompierre-sur-Chalaronne,371,7,378
82,Rhône-Alpes,01,2,25,145,Dompierre-sur-Veyle,1198,24,1222
82,Rhône-Alpes,01,2,11,147,Domsure,475,9,484
82,Rhône-Alpes,01,4,23,148,Dortan,2077,75,2152
82,Rhône-Alpes,01,1,01,149,Douvres,934,31,965
82,Rhône-Alpes,01,2,07,150,Drom,192,1,193
82,Rhône-Alpes,01,2,25,151,Druillat,1127,24,1151
82,Rhône-Alpes,01,4,23,152,Échallon,775,29,804
82,Rhône-Alpes,01,3,14,153,Échenevex,1538,53,1591
82,Rhône-Alpes,01,2,21,154,Étrez,786,15,801
82,Rhône-Alpes,01,1,28,155,Évosges,130,3,133
82,Rhône-Alpes,01,2,19,156,Faramans,647,15,662
82,Rhône-Alpes,01,2,30,157,Fareins,2035,56,2091
82,Rhône-Alpes,01,3,12,158,Farges,825,23,848
82,Rhône-Alpes,01,2,02,159,Feillens,3108,112,3220
82,Rhône-Alpes,01,3,13,160,Ferney-Voltaire,7822,223,8045
82,Rhône-Alpes,01,1,36,162,Flaxieu,57,3,60
82,Rhône-Alpes,01,2,21,163,Foissiat,1855,33,1888
82,Rhône-Alpes,01,2,30,165,Francheleins,1218,22,1240
82,Rhône-Alpes,01,2,34,166,Frans,1994,37,2031
82,Rhône-Alpes,01,2,32,167,Garnerans,640,22,662
82,Rhône-Alpes,01,2,32,169,Genouilleux,581,10,591
82,Rhône-Alpes,01,4,41,171,Géovreisset,904,31,935
82,Rhône-Alpes,01,2,33,172,Germagnat,144,4,148
82,Rhône-Alpes,01,3,14,173,Gex,9694,251,9945
82,Rhône-Alpes,01,4,03,174,Giron,147,5,152
82,Rhône-Alpes,01,2,26,175,Gorrevod,737,14,751
82,Rhône-Alpes,01,4,06,176,Le Grand-Abergement,105,6,111
82,Rhône-Alpes,01,2,07,177,Grand-Corent,146,5,151
82,Rhône-Alpes,01,2,27,179,Grièges,1800,57,1857
82,Rhône-Alpes,01,3,14,180,Grilly,709,25,734
82,Rhône-Alpes,01,4,41,181,Groissiat,1116,38,1154
82,Rhône-Alpes,01,1,18,182,Groslée,350,9,359
82,Rhône-Alpes,01,2,32,183,Guéreins,1241,25,1266
82,Rhône-Alpes,01,2,07,184,Hautecourt-Romanèche,748,18,766
82,Rhône-Alpes,01,1,15,185,Hauteville-Lompnes,4193,134,4327
82,Rhône-Alpes,01,1,28,186,Hostiaz,80,2,82
82,Rhône-Alpes,01,4,06,187,Hotonnes,300,18,318
82,Rhône-Alpes,01,2,32,188,Illiat,544,18,562
82,Rhône-Alpes,01,4,03,189,Injoux-Génissiat,1014,22,1036
82,Rhône-Alpes,01,1,18,190,Innimond,111,6,117
82,Rhône-Alpes,01,4,06,191,Izenave,152,3,155
82,Rhône-Alpes,01,4,16,192,Izernore,2247,50,2297
82,Rhône-Alpes,01,1,04,193,Izieu,196,4,200
82,Rhône-Alpes,01,2,34,194,Jassans-Riottier,5934,116,6050
82,Rhône-Alpes,01,2,07,195,Jasseron,1412,41,1453
82,Rhône-Alpes,01,2,21,196,Jayat,994,24,1018
82,Rhône-Alpes,01,2,25,197,Journans,315,17,332
82,Rhône-Alpes,01,2,19,198,Joyeux,233,3,236
82,Rhône-Alpes,01,4,24,199,Jujurieux,2022,36,2058
82,Rhône-Alpes,01,4,24,200,Labalme,172,2,174
82,Rhône-Alpes,01,1,17,202,Lagnieu,6694,149,6843
82,Rhône-Alpes,01,2,27,203,Laiz,1101,34,1135
82,Rhône-Alpes,01,4,22,204,Lalleyriat,222,9,231
82,Rhône-Alpes,01,3,12,205,Lancrans,1025,33,1058
82,Rhône-Alpes,01,4,06,206,Lantenay,254,9,263
82,Rhône-Alpes,01,2,35,207,Lapeyrouse,293,2,295
82,Rhône-Alpes,01,1,04,208,Lavours,130,6,136
82,Rhône-Alpes,01,3,12,209,Léaz,520,15,535
82,Rhône-Alpes,01,3,14,210,Lélex,225,8,233
82,Rhône-Alpes,01,2,39,211,Lent,1266,31,1297
82,Rhône-Alpes,01,2,29,212,Lescheroux,695,7,702
82,Rhône-Alpes,01,1,17,213,Leyment,1260,22,1282
82,Rhône-Alpes,01,4,16,214,Leyssard,160,8,168
82,Rhône-Alpes,01,4,03,215,Lhôpital,58,1,59
82,Rhône-Alpes,01,1,18,216,Lhuis,817,24,841
82,Rhône-Alpes,01,1,09,218,Lochieu,90,5,95
82,Rhône-Alpes,01,1,18,219,Lompnas,157,3,160
82,Rhône-Alpes,01,1,09,221,Lompnieu,111,3,114
82,Rhône-Alpes,01,1,17,224,Loyettes,2437,37,2474
82,Rhône-Alpes,01,2,30,225,Lurcy,395,10,405
82,Rhône-Alpes,01,1,04,227,Magnieu,418,5,423
82,Rhône-Alpes,01,4,22,228,Maillat,655,13,668
82,Rhône-Alpes,01,2,21,229,Malafretaz,888,28,916
82,Rhône-Alpes,01,2,29,230,Mantenay-Montlin,285,5,290
82,Rhône-Alpes,01,2,02,231,Manziat,1892,59,1951
82,Rhône-Alpes,01,2,11,232,Marboz,2176,48,2224
82,Rhône-Alpes,01,1,18,233,Marchamp,115,3,118
82,Rhône-Alpes,01,1,36,234,Marignieu,156,5,161
82,Rhône-Alpes,01,2,35,235,Marlieux,801,53,854
82,Rhône-Alpes,01,2,21,236,Marsonnas,937,16,953
82,Rhône-Alpes,01,4,41,237,Martignat,1586,51,1637
82,Rhône-Alpes,01,2,42,238,Massieux,2391,40,2431
82,Rhône-Alpes,01,1,04,239,Massignieu-de-Rives,573,15,588
82,Rhône-Alpes,01,4,16,240,Matafelon-Granges,653,9,662
82,Rhône-Alpes,01,2,33,241,Meillonnas,1298,27,1325
82,Rhône-Alpes,01,4,24,242,Mérignat,136,4,140
82,Rhône-Alpes,01,2,30,243,Messimy-sur-Saône,1163,18,1181
82,Rhône-Alpes,01,2,19,244,Meximieux,7334,177,7511
82,Rhône-Alpes,01,2,10,246,Mézériat,2034,50,2084
82,Rhône-Alpes,01,3,14,247,Mijoux,380,18,398
82,Rhône-Alpes,01,2,42,248,Mionnay,2115,41,2156
82,Rhône-Alpes,01,2,40,249,Miribel,8997,146,9143
82,Rhône-Alpes,01,2,42,250,Misérieux,1749,222,1971
82,Rhône-Alpes,01,2,32,252,Mogneneins,694,23,717
82,Rhône-Alpes,01,2,39,254,Montagnat,1588,52,1640
82,Rhône-Alpes,01,1,18,255,Montagnieu,484,19,503
82,Rhône-Alpes,01,4,03,257,Montanges,331,12,343
82,Rhône-Alpes,01,2,32,258,Montceaux,1063,34,1097
82,Rhône-Alpes,01,2,43,259,Montcet,663,12,675
82,Rhône-Alpes,01,2,19,260,Le Montellier,224,6,230
82,Rhône-Alpes,01,2,35,261,Monthieux,595,13,608
82,Rhône-Alpes,01,2,20,262,Montluel,6774,181,6955
82,Rhône-Alpes,01,2,32,263,Montmerle-sur-Saône,3806,66,3872
82,Rhône-Alpes,01,2,39,264,Montracol,925,25,950
82,Rhône-Alpes,01,4,22,265,Montréal-la-Cluse,3529,114,3643
82,Rhône-Alpes,01,2,21,266,Montrevel-en-Bresse,2351,37,2388
82,Rhône-Alpes,01,1,04,268,Murs-et-Gélignieux,238,8,246
82,Rhône-Alpes,01,4,22,269,Nantua,3633,162,3795
82,Rhône-Alpes,01,1,04,271,Nattages,549,15,564
82,Rhône-Alpes,01,2,10,272,Neuville-les-Dames,1523,22,1545
82,Rhône-Alpes,01,2,25,273,Neuville-sur-Ain,1516,37,1553
82,Rhône-Alpes,01,4,22,274,Les Neyrolles,656,22,678
82,Rhône-Alpes,01,2,40,275,Neyron,2332,42,2374
82,Rhône-Alpes,01,2,20,276,Niévroz,1511,15,1526
82,Rhône-Alpes,01,1,28,277,Nivollet-Montgriffon,139,2,141
82,Rhône-Alpes,01,4,16,267,Nurieux-Volognat,1089,25,1114
82,Rhône-Alpes,01,1,28,279,Oncieu,92,4,96
82,Rhône-Alpes,01,1,18,280,Ordonnaz,134,2,136
82,Rhône-Alpes,01,3,13,281,Ornex,3163,115,3278
82,Rhône-Alpes,01,4,06,282,Outriaz,266,8,274
82,Rhône-Alpes,01,4,98,283,Oyonnax,23114,652,23766
82,Rhône-Alpes,01,2,26,284,Ozan,539,12,551
82,Rhône-Alpes,01,2,42,285,Parcieux,1057,15,1072
82,Rhône-Alpes,01,1,04,286,Parves,342,4,346
82,Rhône-Alpes,01,3,12,288,Péron,1930,31,1961
82,Rhône-Alpes,01,2,39,289,Péronnas,6135,370,6505
82,Rhône-Alpes,01,2,19,290,Pérouges,1205,29,1234
82,Rhône-Alpes,01,2,27,291,Perrex,836,22,858
82,Rhône-Alpes,01,4,06,292,Le Petit-Abergement,141,9,150
82,Rhône-Alpes,01,4,16,293,Peyriat,166,11,177
82,Rhône-Alpes,01,1,04,294,Peyrieu,791,42,833
82,Rhône-Alpes,01,2,32,295,Peyzieux-sur-Saône,385,6,391
82,Rhône-Alpes,01,2,11,296,Pirajoux,330,12,342
82,Rhône-Alpes,01,2,20,297,Pizay,762,19,781
82,Rhône-Alpes,01,4,03,298,Plagne,109,2,111
82,Rhône-Alpes,01,2,08,299,Le Plantay,535,16,551
82,Rhône-Alpes,01,4,22,300,Le Poizat,424,7,431
82,Rhône-Alpes,01,2,43,301,Polliat,2366,59,2425
82,Rhône-Alpes,01,1,04,302,Pollieu,156,7,163
82,Rhône-Alpes,01,4,24,303,Poncin,1582,36,1618
82,Rhône-Alpes,01,2,25,304,Pont-d'Ain,2514,53,2567
82,Rhône-Alpes,01,2,26,305,Pont-de-Vaux,2159,56,2215
82,Rhône-Alpes,01,2,27,306,Pont-de-Veyle,1496,99,1595
82,Rhône-Alpes,01,4,22,307,Port,868,28,896
82,Rhône-Alpes,01,3,12,308,Pougny,764,6,770
82,Rhône-Alpes,01,2,33,309,Pouillat,83,2,85
82,Rhône-Alpes,01,1,04,310,Prémeyzel,251,5,256
82,Rhône-Alpes,01,1,15,311,Prémillieu,34,2,36
82,Rhône-Alpes,01,2,33,312,Pressiat,216,6,222
82,Rhône-Alpes,01,3,13,313,Prévessin-Moëns,5300,182,5482
82,Rhône-Alpes,01,2,25,314,Priay,1447,22,1469
82,Rhône-Alpes,01,1,36,316,Pugieu,146,2,148
82,Rhône-Alpes,01,2,07,317,Ramasse,255,7,262
82,Rhône-Alpes,01,2,42,318,Rancé,643,12,655
82,Rhône-Alpes,01,2,30,319,Relevant,433,11,444
82,Rhône-Alpes,01,2,02,320,Replonges,3281,63,3344
82,Rhône-Alpes,01,2,07,321,Revonnas,670,10,680
82,Rhône-Alpes,01,2,42,322,Reyrieux,4028,93,4121
82,Rhône-Alpes,01,2,26,323,Reyssouze,905,15,920
82,Rhône-Alpes,01,2,19,325,Rignieux-le-Franc,944,16,960
82,Rhône-Alpes,01,2,10,328,Romans,581,14,595
82,Rhône-Alpes,01,1,36,329,Rossillon,145,2,147
82,Rhône-Alpes,01,1,09,330,Ruffieu,180,13,193
82,Rhône-Alpes,01,4,24,331,Saint-Alban,174,6,180
82,Rhône-Alpes,01,2,27,334,Saint-André-d'Huiriat,536,6,542
82,Rhône-Alpes,01,2,02,332,Saint-André-de-Bâgé,555,14,569
82,Rhône-Alpes,01,2,42,333,Saint-André-de-Corcy,2971,41,3012
82,Rhône-Alpes,01,2,10,335,Saint-André-le-Bouchoux,307,5,312
82,Rhône-Alpes,01,2,39,336,Saint-André-sur-Vieux-Jonc,1030,22,1052
82,Rhône-Alpes,01,2,26,337,Saint-Bénigne,1117,29,1146
82,Rhône-Alpes,01,1,18,338,Saint-Benoît,736,20,756
82,Rhône-Alpes,01,2,34,339,Saint-Bernard,1380,30,1410
82,Rhône-Alpes,01,1,04,340,Saint-Bois,120,3,123
82,Rhône-Alpes,01,1,04,341,Saint-Champ,138,4,142
82,Rhône-Alpes,01,2,27,343,Saint-Cyr-sur-Menthon,1563,32,1595
82,Rhône-Alpes,01,1,01,345,Saint-Denis-en-Bugey,2093,31,2124
82,Rhône-Alpes,01,2,43,344,Saint-Denis-lès-Bourg,5229,175,5404
82,Rhône-Alpes,01,2,21,346,Saint-Didier-d'Aussiat,821,14,835
82,Rhône-Alpes,01,2,34,347,Saint-Didier-de-Formans,1782,67,1849
82,Rhône-Alpes,01,2,32,348,Saint-Didier-sur-Chalaronne,2656,59,2715
82,Rhône-Alpes,01,2,19,349,Saint-Éloi,372,12,384
82,Rhône-Alpes,01,2,33,350,Saint-Étienne-du-Bois,2410,47,2457
82,Rhône-Alpes,01,2,32,351,Saint-Étienne-sur-Chalaronne,1415,36,1451
82,Rhône-Alpes,01,2,26,352,Saint-Étienne-sur-Reyssouze,516,8,524
82,Rhône-Alpes,01,3,13,354,Saint-Genis-Pouilly,8379,165,8544
82,Rhône-Alpes,01,2,27,355,Saint-Genis-sur-Menthon,391,6,397
82,Rhône-Alpes,01,2,10,356,Saint-Georges-sur-Renon,196,5,201
82,Rhône-Alpes,01,4,03,357,Saint-Germain-de-Joux,494,12,506
82,Rhône-Alpes,01,1,04,358,Saint-Germain-les-Paroisses,367,12,379
82,Rhône-Alpes,01,2,35,359,Saint-Germain-sur-Renon,241,5,246
82,Rhône-Alpes,01,3,12,360,Saint-Jean-de-Gonville,1442,41,1483
82,Rhône-Alpes,01,2,19,361,Saint-Jean-de-Niost,1404,42,1446
82,Rhône-Alpes,01,2,42,362,Saint-Jean-de-Thurigneux,615,6,621
82,Rhône-Alpes,01,4,24,363,Saint-Jean-le-Vieux,1578,84,1662
82,Rhône-Alpes,01,2,29,364,Saint-Jean-sur-Reyssouze,713,16,729
82,Rhône-Alpes,01,2,27,365,Saint-Jean-sur-Veyle,1068,35,1103
82,Rhône-Alpes,01,2,29,367,Saint-Julien-sur-Reyssouze,586,14,600
82,Rhône-Alpes,01,2,10,368,Saint-Julien-sur-Veyle,699,8,707
82,Rhône-Alpes,01,2,39,369,Saint-Just,874,38,912
82,Rhône-Alpes,01,2,02,370,Saint-Laurent-sur-Saône,1736,20,1756
82,Rhône-Alpes,01,2,35,371,Saint-Marcel,1223,10,1233
82,Rhône-Alpes,01,1,36,372,Saint-Martin-de-Bavel,457,6,463
82,Rhône-Alpes,01,4,22,373,Saint-Martin-du-Frêne,1069,46,1115
82,Rhône-Alpes,01,2,25,374,Saint-Martin-du-Mont,1565,45,1610
82,Rhône-Alpes,01,2,21,375,Saint-Martin-le-Châtel,774,21,795
82,Rhône-Alpes,01,2,40,376,Saint-Maurice-de-Beynost,3875,37,3912
82,Rhône-Alpes,01,2,19,378,Saint-Maurice-de-Gourdans,2404,45,2449
82,Rhône-Alpes,01,1,01,379,Saint-Maurice-de-Rémens,683,7,690
82,Rhône-Alpes,01,2,29,380,Saint-Nizier-le-Bouchoux,727,18,745
82,Rhône-Alpes,01,2,08,381,Saint-Nizier-le-Désert,858,6,864
82,Rhône-Alpes,01,2,35,383,Saint-Paul-de-Varax,1497,9,1506
82,Rhône-Alpes,01,1,28,384,Saint-Rambert-en-Bugey,2167,39,2206
82,Rhône-Alpes,01,2,39,385,Saint-Rémy,835,25,860
82,Rhône-Alpes,01,1,17,386,Saint-Sorlin-en-Bugey,1066,49,1115
82,Rhône-Alpes,01,2,21,387,Saint-Sulpice,135,0,135
82,Rhône-Alpes,01,2,29,388,Saint-Trivier-de-Courtes,975,30,1005
82,Rhône-Alpes,01,2,30,389,Saint-Trivier-sur-Moignans,1881,24,1905
82,Rhône-Alpes,01,1,17,390,Saint-Vulbas,923,17,940
82,Rhône-Alpes,01,2,20,342,Sainte-Croix,524,10,534
82,Rhône-Alpes,01,2,42,353,Sainte-Euphémie,1392,34,1426
82,Rhône-Alpes,01,1,17,366,Sainte-Julie,846,9,855
82,Rhône-Alpes,01,2,30,382,Sainte-Olive,310,2,312
82,Rhône-Alpes,01,2,11,391,Salavre,282,12,294
82,Rhône-Alpes,01,4,16,392,Samognat,685,20,705
82,Rhône-Alpes,01,2,10,393,Sandrans,530,9,539
82,Rhône-Alpes,01,1,17,396,Sault-Brénaz,1050,15,1065
82,Rhône-Alpes,01,3,13,397,Sauverny,1095,41,1136
82,Rhône-Alpes,01,2,30,398,Savigneux,1189,11,1200
82,Rhône-Alpes,01,3,14,399,Ségny,1581,50,1631
82,Rhône-Alpes,01,1,18,400,Seillonnaz,141,3,144
82,Rhône-Alpes,01,3,13,401,Sergy,1706,39,1745
82,Rhône-Alpes,01,2,26,402,Sermoyer,664,12,676
82,Rhône-Alpes,01,1,18,403,Serrières-de-Briord,1112,17,1129
82,Rhône-Alpes,01,4,16,404,Serrières-sur-Ain,116,3,119
82,Rhône-Alpes,01,2,39,405,Servas,1174,16,1190
82,Rhône-Alpes,01,2,29,406,Servignat,156,4,160
82,Rhône-Alpes,01,1,31,407,Seyssel,933,18,951
82,Rhône-Alpes,01,2,07,408,Simandre-sur-Suran,656,19,675
82,Rhône-Alpes,01,1,09,409,Songieu,121,5,126
82,Rhône-Alpes,01,4,16,410,Sonthonnax-la-Montagne,323,23,346
82,Rhône-Alpes,01,1,17,411,Souclin,256,0,256
82,Rhône-Alpes,01,2,10,412,Sulignat,573,23,596
82,Rhône-Alpes,01,4,03,413,Surjoux,74,1,75
82,Rhône-Alpes,01,1,09,414,Sutrieu,228,9,237
82,Rhône-Alpes,01,1,09,415,Talissieu,452,4,456
82,Rhône-Alpes,01,1,28,416,Tenay,1105,24,1129
82,Rhône-Alpes,01,1,15,417,Thézillieu,313,4,317
82,Rhône-Alpes,01,2,40,418,Thil,1083,6,1089
82,Rhône-Alpes,01,3,13,419,Thoiry,4938,154,5092
82,Rhône-Alpes,01,2,32,420,Thoissey,1498,18,1516
82,Rhône-Alpes,01,1,28,421,Torcieu,685,13,698
82,Rhône-Alpes,01,2,25,422,Tossiat,1388,34,1422
82,Rhône-Alpes,01,2,42,423,Toussieux,745,11,756
82,Rhône-Alpes,01,2,42,424,Tramoyes,1641,33,1674
82,Rhône-Alpes,01,2,25,425,La Tranclière,303,7,310
82,Rhône-Alpes,01,2,33,426,Treffort-Cuisiat,2070,48,2118
82,Rhône-Alpes,01,2,34,427,Trévoux,6768,189,6957
82,Rhône-Alpes,01,2,32,428,Valeins,90,1,91
82,Rhône-Alpes,01,2,43,429,Vandeins,600,10,610
82,Rhône-Alpes,01,2,25,430,Varambon,536,14,550
82,Rhône-Alpes,01,1,17,431,Vaux-en-Bugey,1115,26,1141
82,Rhône-Alpes,01,2,11,432,Verjon,250,9,259
